Mon May  5 09:58:30 -10 2025 | GPU:  | CPU: CPU usage: 3.90% user, 9.76% sys, 86.32% idle 
Mon May  5 09:58:40 -10 2025 | GPU:  | CPU: CPU usage: 3.44% user, 9.57% sys, 86.97% idle 
Mon May  5 09:58:51 -10 2025 | GPU:  | CPU: CPU usage: 3.51% user, 8.59% sys, 87.89% idle 
Mon May  5 09:59:01 -10 2025 | GPU:  | CPU: CPU usage: 3.11% user, 9.72% sys, 87.15% idle 
Mon May  5 09:59:12 -10 2025 | GPU:  | CPU: CPU usage: 3.51% user, 9.37% sys, 87.10% idle 
Mon May  5 09:59:22 -10 2025 | GPU:  | CPU: CPU usage: 3.48% user, 10.7% sys, 86.43% idle 
Mon May  5 09:59:33 -10 2025 | GPU:  | CPU: CPU usage: 5.0% user, 9.61% sys, 85.38% idle 
Mon May  5 09:59:43 -10 2025 | GPU:  | CPU: CPU usage: 5.79% user, 10.42% sys, 83.78% idle 
Mon May  5 09:59:54 -10 2025 | GPU:  | CPU: CPU usage: 4.20% user, 9.66% sys, 86.13% idle 
Mon May  5 10:00:04 -10 2025 | GPU:  | CPU: CPU usage: 5.0% user, 9.58% sys, 85.41% idle 
Mon May  5 10:00:15 -10 2025 | GPU:  | CPU: CPU usage: 2.82% user, 9.67% sys, 87.50% idle 
Mon May  5 10:00:25 -10 2025 | GPU:  | CPU: CPU usage: 4.52% user, 10.94% sys, 84.52% idle 
Mon May  5 10:00:36 -10 2025 | GPU:  | CPU: CPU usage: 3.5% user, 10.30% sys, 86.64% idle 
Mon May  5 10:00:47 -10 2025 | GPU:  | CPU: CPU usage: 7.11% user, 11.23% sys, 81.64% idle 
Mon May  5 10:00:57 -10 2025 | GPU:  | CPU: CPU usage: 3.73% user, 10.7% sys, 86.19% idle 
Mon May  5 10:01:08 -10 2025 | GPU:  | CPU: CPU usage: 3.1% user, 9.81% sys, 87.16% idle 
Mon May  5 10:01:18 -10 2025 | GPU:  | CPU: CPU usage: 3.75% user, 9.39% sys, 86.84% idle 
Mon May  5 10:01:29 -10 2025 | GPU:  | CPU: CPU usage: 4.16% user, 9.46% sys, 86.36% idle 
Mon May  5 10:01:39 -10 2025 | GPU:  | CPU: CPU usage: 4.52% user, 10.18% sys, 85.28% idle 
Mon May  5 10:01:50 -10 2025 | GPU:  | CPU: CPU usage: 3.42% user, 9.50% sys, 87.7% idle 
Mon May  5 10:02:00 -10 2025 | GPU:  | CPU: CPU usage: 3.73% user, 9.70% sys, 86.56% idle 
Mon May  5 10:02:11 -10 2025 | GPU:  | CPU: CPU usage: 37.50% user, 30.51% sys, 31.98% idle 
Mon May  5 10:02:21 -10 2025 | GPU:  | CPU: CPU usage: 5.20% user, 10.40% sys, 84.38% idle 
Mon May  5 10:02:32 -10 2025 | GPU:  | CPU: CPU usage: 10.3% user, 11.15% sys, 78.81% idle 
Mon May  5 10:02:43 -10 2025 | GPU:  | CPU: CPU usage: 4.74% user, 9.48% sys, 85.76% idle 
Mon May  5 10:02:53 -10 2025 | GPU:  | CPU: CPU usage: 4.82% user, 11.37% sys, 83.79% idle 
Mon May  5 10:03:04 -10 2025 | GPU:  | CPU: CPU usage: 6.85% user, 10.83% sys, 82.31% idle 
Mon May  5 10:03:14 -10 2025 | GPU:  | CPU: CPU usage: 4.15% user, 9.81% sys, 86.3% idle 
Mon May  5 10:03:25 -10 2025 | GPU:  | CPU: CPU usage: 19.23% user, 9.23% sys, 71.53% idle 
Mon May  5 10:03:35 -10 2025 | GPU:  | CPU: CPU usage: 27.33% user, 10.33% sys, 62.33% idle 
Mon May  5 10:03:46 -10 2025 | GPU:  | CPU: CPU usage: 1.10% user, 9.59% sys, 89.29% idle 
Mon May  5 10:03:57 -10 2025 | GPU:  | CPU: CPU usage: 2.19% user, 9.15% sys, 88.64% idle 
Mon May  5 10:04:07 -10 2025 | GPU:  | CPU: CPU usage: 2.14% user, 9.28% sys, 88.57% idle 
